longitude,latitude,id,name,station_name_URI
-71.13051600015453,42.39782800013164,118,Linear Park - Mass. Ave. at Cameron Ave. ,Linear-Park
-71.03877000017535,42.33574099977888,119,South Boston Library - 646 E Broadway,South-Boston-Library
-71.069848999687,42.356052000129864,120,Charles st and Beacon St,Charles-st-and-Beacon-St
-71.04585900044275,42.33569299995681,121,W Broadway at Dorchester St,W-Broadway-at-Dorchester-St
-71.10069399974523,42.34573300015023,122,Burlington Ave at Brookline Ave,Burlington-Ave-at-Brookline-Ave
-71.11413999998591,42.313155999852775,123,JP Center,JP-Center
-71.11542999959853,42.30905399987985,124,Curtis Hall - South St at Centre St,Curtis-Hall
-71.11188411740676,42.320902962900036,125,Hyde Square - Barbara St at Centre St,Hyde-Square
-71.09863400020366,42.31569200020615,126,Egleston Square - Atherton St at Washington St,Egleston-Square
-71.06198000034324,42.3205609999201,128,E Cottage St at Columbia Rd,E-Cottage-St-at-Columbia-Rd
-71.05660500001099,42.377021999905715,129,Hayes Square - Vine St at Moulton St,Hayes-Square
-71.0653630000077,42.317283000171514,130,Upham's Corner,Upham's-Corner
-71.10014140648808,42.322931171854464,131,Jackson Square T Stop,Jackson-Square-T-Stop
