,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon
124,212,Kneeland Street,Kneeland-Street,no,LTS 1,SBL,77.9446145865335,way,426492390,42.3501019,-71.0596026
125,2209,Knight Street,Knight-Street,no,LTS 1,SUP,86.8450695092812,way,8644787,42.2457412,-71.1333347
126,4,Lake Street,Lake-Street,no,LTS 2,SLM,185.77592613021,way,8644753,42.347005,-71.16168
127,2632,Langone Park Path,Langone-Park-Path,no,LTS 1,SUP,96.63664523952829,,,,
128,2124,Liberty Square,Liberty-Square,no,LTS 2,SLM,46.761838580402696,way,103548394,42.35787875,-71.0552968824964
129,1014,Litchfield Street,Litchfield-Street,no,LTS 2,BL,158.933345415049,way,261142520,42.3603488,-71.1406603
130,2447,Lomasney Way,Lomasney-Way,yes,LTS 3,BL,143.914883784951,way,426456709,42.3644691,-71.0635963
131,2069,Longfellow Bridge,Longfellow-Bridge,yes,LTS 2,SBL,751.1079143087089,way,244444287,42.3615936,-71.0753737
132,425,Longwood Avenue,Longwood-Avenue,no,LTS 3,CL,81.3780142098608,way,301420931,42.3382665,-71.106161
133,2750,Lovejoy Wharf Harborwalk,Lovejoy-Wharf-Harborwalk,no,LTS 1,SUP,155.68900541973102,,,,
134,215,Main Street,Main-Street,no,LTS 3,BL,33.7431157941466,way,8647620,42.3847377,-71.0743171
135,163,Maitland Street,Maitland-Street,no,LTS 3,SLM,108.73715068659,way,8642453,42.347144,-71.101567
136,2076,Malden Street,Malden-Street,no,LTS 3,SLM,35.2759268983383,way,8652311,42.3401342,-71.0684272
137,1482,Mallard Avenue,Mallard-Avenue,no,LTS 2,TC,226.30674066213402,way,320201552,42.2913014,-71.0759357
138,459,Marcella Street,Marcella-Street,no,LTS 2,SLM,205.80824202911,way,8649456,42.321471,-71.094299
139,302,Marginal Street,Marginal-Street,no,LTS 3,SRd,125.92047065828001,way,290287162,42.3639593,-71.0302454
140,28,Market Street,Market-Street,no,LTS 3,BL,24.584262245443696,way,34963601,42.3580348,-71.1479387
141,1119,Martin Luther King Boulevard,Martin-Luther-King-Boulevard,yes,LTS 3,BL,17.7012281481884,,,,
142,120,Massachusetts Avenue,Massachusetts-Avenue,no,LTS 2,SBL,90.1322633136831,way,286489353,42.350064,-71.0890979
143,2594,Mass Ave Shared-Use Bridge,Mass-Ave-Shared-Use-Bridge,no,LTS 1,WALK,161.74307242883498,,,,
144,2572,MassPike Bike-Ped Bridge,MassPike-Bike-Ped-Bridge,no,LTS 1,SUP,244.32621456863498,,,,
145,292,Maverick Street,Maverick-Street,no,LTS 3,BL,172.834640033588,way,591493101,42.3700631,-71.0388361
146,2595,MBTA Redline Path,MBTA-Redline-Path,no,LTS 1,SUC,324.01686655928904,,,,
147,1238,Mercantile Street,Mercantile-Street,no,LTS 4,SLM,68.81608724376879,way,199584098,42.3608488,-71.0529427
148,300,Meridian Street,Meridian-Street,no,LTS 3,CL,117.981566062408,way,591493027,42.375144,-71.039103
149,2603,Metropolitan Ave Footbridge,Metropolitan-Ave-Footbridge,no,LTS 1,WALK,257.264322348691,,,,
150,273,Milk Street,Milk-Street,no,LTS 2,BL,66.4846800655113,way,104210747,42.3573374,-71.0549013
